date,num_rrsig,num_httpsrr,rrsig_perc
2023-10-13,12537,128446,9.760521931395294
2023-10-14,12537,128462,9.759306253989507
2023-10-15,12542,128472,9.762438508001743
2023-10-16,12545,128462,9.765533776525354
2023-10-17,12546,128493,9.763956013168032
2023-10-18,12552,128527,9.766041376520109
2023-10-19,12554,128542,9.766457655863453
2023-10-20,12562,128570,9.770553006144512
2023-10-21,12571,127262,9.878046863949962
2023-10-22,12573,126727,9.921326946901607
2023-10-23,12578,126750,9.923471400394478
2023-10-24,12587,126793,9.927204183196233
2023-10-25,12599,126825,9.934161245811158
2023-10-26,12608,126862,9.938358216014251
2023-10-27,12610,126894,9.937428089586584
2023-10-28,12618,126917,9.9419305530386
2023-10-29,12623,126932,9.944694797214256
2023-10-30,12616,126921,9.940041443102402
2023-10-31,12624,126959,9.94336754385274
2023-11-01,12627,126979,9.944163995621324
2023-11-02,12636,126998,9.949762988393518
2023-11-03,12630,126939,9.94966086072838
2023-11-04,12633,126888,9.956024210327218
2023-11-05,12635,126920,9.955089820359282
2023-11-06,12631,126873,9.955624916254838
2023-11-07,12660,126979,9.970152544909
2023-11-08,12674,127030,9.977170747067621
2023-11-09,12676,127064,9.976075048794309
2023-11-10,12681,127112,9.97624142488514
2023-11-11,12677,127091,9.974742507337263
2023-11-12,12672,127088,9.971043686264636
2023-11-13,12681,127106,9.976712350321778
2023-11-14,12690,127213,9.975395596362008
2023-11-15,12691,127254,9.972967450924921
2023-11-16,12702,127279,9.979651002914856
2023-11-17,12714,127295,9.987823559448525
2023-11-18,12724,127315,9.994109099477674
2023-11-19,12726,127319,9.995365970515005
2023-11-20,12736,127328,10.002513194269918
2023-11-21,12742,127359,10.004789610471187
2023-11-22,12756,127386,10.01365927181951
2023-11-23,12765,127443,10.016242555495397
2023-11-24,12779,127475,10.024710727593646
2023-11-25,12783,127463,10.028792669245192
2023-11-26,12787,127461,10.032088246600921
2023-11-27,12792,127465,10.035696073431922
2023-11-28,12804,127484,10.043613316180855
2023-11-29,12817,127507,10.05199714525477
2023-11-30,12822,127484,10.057732735088324
2023-12-01,12830,127460,10.065903028401067
2023-12-02,12833,127499,10.06517698178025
2023-12-03,12830,127461,10.065824055985752
2023-12-04,12830,127450,10.066692820714005
2023-12-05,12829,127493,10.0625132360208
2023-12-06,12836,127504,10.067135148701217
2023-12-07,12855,127450,10.086308356218124
2023-12-08,12850,127447,10.08262258036674
2023-12-09,12867,127393,10.100240986553422
2023-12-10,12866,127419,10.097395207936023
2023-12-11,12877,127445,10.103966416885715
2023-12-12,12880,127452,10.105765307723692
2023-12-13,12876,127462,10.101834272175237
2023-12-14,12881,127497,10.102982815281928
2023-12-15,12890,127513,10.108773223122348
2023-12-16,12901,127538,10.115416581724663
2023-12-17,12904,127523,10.11895893289838
2023-12-18,12908,127544,10.120429028413724
2023-12-19,12903,127528,10.117778056583653
2023-12-20,12929,127528,10.138165736152061
2023-12-21,12947,127583,10.14790371757993
2023-12-22,12953,127586,10.15236781465051
2023-12-23,12970,127632,10.162028331452927
2023-12-24,12972,127639,10.163037942948472
2023-12-25,12975,127627,10.166344112139281
2023-12-26,12971,127632,10.162811834022815
2023-12-27,12971,127644,10.16185641314907
2023-12-28,12974,127651,10.163649325113003
2023-12-29,12981,127664,10.168097505953128
2023-12-30,12983,127683,10.168150810992849
2023-12-31,12989,127698,10.171654998512114
2024-01-01,12993,127678,10.176381208978837
2024-01-02,12998,127695,10.17894201025882
2024-01-03,13005,127720,10.182430316316943
2024-01-04,13005,127720,10.182430316316943
2024-01-05,13041,127801,10.204145507468642
2024-01-06,13046,127805,10.207738351394703
2024-01-07,13049,127797,10.210724821396433
2024-01-08,13058,127816,10.216248357013207
2024-01-09,13068,127830,10.222952358601267
2024-01-10,13081,127855,10.231121191975285
2024-01-11,13081,127887,10.228561151641683
2024-01-12,13096,127927,10.23708833944359
2024-01-13,13100,127957,10.237814265729893
2024-01-14,13106,127980,10.240662603531803
2024-01-15,13113,127951,10.248454486483107
2024-01-16,13122,127958,10.254927398052486
2024-01-17,13121,127975,10.252783746825552
2024-01-18,13131,128020,10.256991095141384
2024-01-19,13133,128035,10.25735150544773
2024-01-20,13134,128011,10.26005577645671
2024-01-21,13138,128014,10.262939990938492
2024-01-22,13144,128018,10.26730616007124
2024-01-23,13145,128036,10.2666437564435
2024-01-24,13148,128034,10.269147257759657
2024-01-25,13157,128046,10.275213595114256
2024-01-26,13166,128078,10.279673324068145
