date,num_adbit,num_httpsrr,adbit_perc
2023-11-09,18208,260548,6.988347636519951
2023-11-10,18212,261021,6.977216392550791
2023-11-11,18200,260811,6.978233280038035
2023-11-12,18173,261368,6.95303174068746
2023-11-13,18170,261670,6.943860587763213
2023-11-14,18174,261707,6.944407295181252
2023-11-15,18130,262470,6.907456090219835
2023-11-16,18141,263158,6.893577242569103
2023-11-17,18141,263446,6.886041162135694
2023-11-18,18129,263872,6.87037654620422
2023-11-19,18251,261055,6.991247055218249
2023-11-20,18359,258497,7.102210083676019
2023-11-21,18354,259006,7.086322324579354
2023-11-22,18374,258709,7.102188172811924
2023-11-23,18438,257745,7.153582028749345
2023-11-24,18483,257011,7.191520985483112
2023-11-25,18473,256464,7.202960259529602
2023-11-26,18463,256027,7.211348803055928
2023-11-27,18448,256439,7.1939135622896675
2023-11-28,18427,255831,7.202801849658564
2023-11-29,18431,256047,7.1982878143465845
2023-11-30,18432,256342,7.190394082904869
2023-12-01,18420,256567,7.179411225917597
2023-12-02,18392,256877,7.15984693063217
2023-12-03,18371,257042,7.147081021778542
2023-12-04,18360,257200,7.138413685847589
2023-12-05,18296,257650,7.101106151756259
2023-12-06,18278,258083,7.082217736154648
2023-12-07,18296,258527,7.077017100728357
2023-12-08,18337,257579,7.118980972827754
2023-12-09,18223,259907,7.0113540612603735
2023-12-10,18091,265439,6.815501866718908
2023-12-11,18082,265510,6.8102896312756585
2023-12-12,18115,265167,6.83154389497939
2023-12-13,18113,265048,6.8338565090096886
2023-12-14,18118,265338,6.828271864565196
2023-12-15,18116,266034,6.809655908643256
2023-12-16,18109,265815,6.8126328461523995
2023-12-17,18250,261254,6.985538977393648
2023-12-18,18330,259556,7.062059825240025
2023-12-19,18300,259755,7.0451001905641855
2023-12-20,18299,259890,7.041055831313248
2023-12-21,18337,259647,7.062280711889604
2023-12-22,18382,258731,7.104676285408397
2023-12-23,18382,258990,7.097571334800572
2023-12-24,18368,259304,7.083577576898159
2023-12-25,18374,259515,7.080130242953201
2023-12-26,18369,259740,7.072072072072072
2023-12-27,18340,260049,7.052517025637476
2023-12-28,18377,260510,7.054239760469848
2023-12-29,18383,260899,7.046021640558224
2023-12-30,18369,261392,7.027376507314685
2023-12-31,18351,261835,7.0086122940019475
2024-01-01,18322,262156,6.988968400494362
2024-01-02,18298,262855,6.961252401514143
2024-01-03,18316,264304,6.929898904292028
2024-01-04,18316,264304,6.929898904292028
2024-01-05,18330,264723,6.9242189005111
2024-01-06,18310,265718,6.890763892547739
2024-01-07,18168,270677,6.7120590223772245
2024-01-08,18172,270992,6.7057330105685775
2024-01-09,18182,270859,6.7127176870622725
2024-01-10,18172,269623,6.739781101760607
2024-01-11,18172,269688,6.73815668476165
2024-01-12,18181,269198,6.753764886811938
2024-01-13,18154,268291,6.766533353709219
2024-01-14,18296,264505,6.917071510935521
2024-01-15,18305,264296,6.925946665859491
2024-01-16,18306,264683,6.91619786688227
2024-01-17,18353,265258,6.9189242171772385
2024-01-18,18362,265245,6.922656411996456
